hour,disk_used_gb,ram_used_gb,cpu_percent
2020-10-10 16:00:00,155.6123693628096485,,34.2015848425227347
2020-10-10 17:00:00,155.6945546654757585,,34.2029117704524521
2020-10-10 18:00:00,152.4073982708418329,,33.9211724072407800
2020-10-10 19:00:00,68.0552783920464695,7.6697937471286602,29.1431752523977012
2020-10-10 20:00:00,60.6307957626034043,7.6647765535375630,28.6596737600204773
2020-10-10 21:00:00,60.6844868331428439,7.6675657765617243,28.6180433854004318
2020-10-10 22:00:00,60.7012150403977626,7.6733214700329514,28.9634063111976266
2020-10-10 23:00:00,60.7697939270114133,7.6739460922455498,29.1257250716265089
2020-10-11 00:00:00,60.8381565849249299,7.6772772253982415,29.1447867632385223
2020-10-11 01:00:00,60.9092124936419877,7.6824582736961639,29.5231088609990655
2020-10-11 02:00:00,60.9662965334035348,7.6864818293864950,29.6372566382270938
2020-10-11 03:00:00,60.8988320039609460,7.6914263632356582,28.8399886485083053
2020-10-11 04:00:00,60.9703502150283983,7.6946031803637639,28.5267258221585101
2020-10-11 05:00:00,61.0428356970702581,7.7012480167621447,28.3810202623324088
2020-10-11 06:00:00,61.1108012583943372,7.7095775304011132,28.4668570391433239
2020-10-11 07:00:00,61.1160326951096386,7.7201238157998150,28.4901201279268713
2020-10-11 08:00:00,61.1576202609977613,7.7342187357807182,28.5812897002347888
2020-10-11 09:00:00,61.2206069380050945,7.7536600756229117,28.5595417422590360
2020-10-11 10:00:00,61.2878960441357761,7.7963201674620708,29.2710792271356907
2020-10-11 11:00:00,61.6987468623286349,7.8462509265084180,28.5338874736061888
2020-10-11 12:00:00,61.7275968729175408,7.8570492632722067,28.4834014117530913
2020-10-11 13:00:00,61.7607606504085216,7.8640297535222190,28.5103386665508620
2020-10-11 14:00:00,61.6750070219435737,7.8685017554858934,28.8699391849529781
2020-10-11 15:00:00,61.4955029237937396,7.9233622689890240,29.0197435817255074
2020-10-11 16:00:00,61.5692254502039598,7.9113136752561934,28.6118085265147746
2020-10-11 17:00:00,61.6464305892477410,7.8799998752782853,28.5154411718852311
2020-10-11 18:00:00,61.7215081635565926,7.8772681407197334,28.4416363106061076
2020-10-11 19:00:00,61.7990395155033910,7.8862781225756400,28.9391032057859306
2020-10-11 20:00:00,61.8863291561923123,7.9519623112253577,28.9834558754040108
2020-10-11 21:00:00,61.9563505934198007,7.9727095748410036,28.5097175622214432
2020-10-11 22:00:00,62.0019351981351981,7.9823948717948718,28.9375850815850816
2020-10-12 08:00:00,61.9994862829478214,8.0176078536847768,29.5154115115653577
2020-10-12 09:00:00,62.4872989739578278,8.0405041995215229,43.1900641775960808
2020-10-12 10:00:00,62.7706827021642147,8.0625541486796702,44.9810478899268007
2020-10-12 11:00:00,62.8929836641917825,8.0268609214748631,39.1766795916441201
2020-10-12 12:00:00,62.9137686013118820,8.0299492951081813,37.6165992233136442
2020-10-12 13:00:00,62.9116215650675447,8.0271756777548697,28.5609336246422747
2020-10-12 14:00:00,62.6151846991586745,8.0061847850082170,28.4654069268316613
2020-10-12 15:00:00,62.6432121935610909,7.9918073126907551,28.4982481293689081
2020-10-12 16:00:00,62.7087984757057890,8.0158691503356782,28.5249346863400263
2020-10-12 17:00:00,62.7637430992585208,8.0271155835254533,28.5484703096766154
2020-10-12 18:00:00,62.7760007266268368,8.0326201356370095,28.6128693686420152
2020-10-13 18:00:00,63.4062206912522434,8.2318969489955422,26.7965784750767093
2020-10-13 19:00:00,63.9108003949833424,8.1718723871575042,25.5360537657231979
2020-10-13 20:00:00,64.0521114537203089,8.2613662710902902,26.0476905903451305
2020-10-13 21:00:00,64.1674526594439105,8.3264637780229712,24.0365825795929228
2020-10-13 22:00:00,64.2987817514473124,8.3758959666634011,24.0217043313428279
2020-10-13 23:00:00,64.4321395042971496,8.4100017007188372,24.0029052812988957
2020-10-14 00:00:00,64.4906543415364336,8.4816496833074543,23.9892020688345491
2020-10-14 01:00:00,64.4124908244501417,8.5445991768992039,23.8939805694238294
2020-10-14 02:00:00,64.5328304907919804,8.5902527669418489,24.0545103420121564
2020-10-14 03:00:00,64.6596228938158464,8.6299118740077933,23.9133927604993506
2020-10-14 04:00:00,64.7892027810751229,8.7129684698434232,23.8090075179469787
2020-10-14 05:00:00,64.9174511942487934,8.7773257337379483,23.8760933003370547
2020-10-14 06:00:00,65.0671445815450644,8.8422464446788390,23.9390969393322179
2020-10-14 07:00:00,65.1497994217807893,8.9007805959344805,24.0114647920254309
2020-10-14 08:00:00,65.2482209377580397,8.9576371264701288,23.8646557611194180
2020-10-14 09:00:00,65.3758648233211990,9.0222905260425873,23.8883796742746806
2020-10-14 10:00:00,65.5011107393853325,9.0875319532444833,23.9176537124025927
2020-10-14 11:00:00,65.4332874005380961,9.1487366649493388,23.9850761921117408
2020-10-14 12:00:00,65.4955702917164088,9.2063757827948957,23.9101824631029497
2020-10-14 13:00:00,65.6209764610539112,9.2791524459875122,23.9514995026983221
2020-10-14 14:00:00,65.6937179104477612,9.4004254190585534,24.0014569460390356
2020-10-14 15:00:00,65.8095326906582803,9.5009724555071117,24.1820449306697162
2020-10-14 16:00:00,65.9629573825307820,9.5433067086207592,24.6052926701359474
2020-10-14 17:00:00,66.0842101262007742,9.6434115818618157,24.0303484634813960
2020-10-14 18:00:00,66.2114415945959317,9.6877495941102131,23.9832031337839722
2020-10-14 19:00:00,66.3458048493721993,9.7526378943165180,24.4371365189227561
2020-10-14 20:00:00,66.4527099267868238,9.8113246476989039,25.1662593617120075
